season,player_id,player_name,pos,age,team,games,games_started,minutes_per_game,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,fg_pct,fg3_pct,fg2_pct,ft_pct,efg_pct,per,ts_pct,usg_pct,bpm,obpm,dbpm,vorp,ws,ws_per_48,years_in_league
2005-06,webbech01,Chris Webber,PF,32,PHI,75,75,38.573,20.24,9.88,3.413,1.373,0.827,2.427,0.4339,0.2727,0.4431,0.7557,0.4413,18.4,0.4819,27.7,-0.1,0.6,-0.7,1.3,4.4,0.073,
2005-06,davisri01,Ricky Davis,SG,26,2TM,78,78,41.115,19.436,4.5,5.051,1.167,0.218,2.731,0.4479,0.3017,0.4812,0.7971,0.4758,15.6,0.5207,24.3,-0.4,0.6,-1.0,1.3,5.0,0.075,
2005-06,parketo01,Tony Parker,PG,23,SAS,80,80,33.938,18.875,3.263,5.75,1.038,0.05,3.112,0.5484,0.3056,0.5564,0.7067,0.5533,20.8,0.5837,27.1,2.8,2.4,0.4,3.3,9.6,0.17,5
2005-06,billuch01,Chauncey Billups,PG,29,DET,81,81,36.111,18.457,3.111,8.63,0.877,0.099,2.099,0.418,0.4329,0.4072,0.8942,0.5089,23.4,0.6024,22.9,6.2,6.2,0.1,6.1,15.5,0.254,
2005-06,nashst01,Steve Nash,PG,31,PHO,79,79,35.392,18.848,4.215,10.456,0.772,0.152,3.494,0.5123,0.4386,0.5476,0.9211,0.5833,23.3,0.6316,23.3,5.0,5.7,-0.7,4.9,12.4,0.213,
2005-06,duncati01,Tim Duncan,PF,29,SAS,80,80,34.8,18.562,11.012,3.163,0.875,2.025,2.475,0.4844,0.4,0.4847,0.6285,0.4852,23.1,0.5231,27.7,5.0,2.3,2.6,4.9,10.8,0.186,9
2005-06,okurme01,Mehmet Okur,PF,26,UTA,82,82,35.915,17.951,9.098,2.366,0.488,0.89,1.988,0.4601,0.3419,0.4911,0.7797,0.4956,19.0,0.5543,23.5,1.6,2.4,-0.8,2.7,9.3,0.152,
2005-06,harrial01,Al Harrington,PF,25,ATL,76,76,36.605,18.566,6.882,3.132,1.118,0.184,2.566,0.4516,0.3455,0.4713,0.6943,0.4787,16.0,0.5135,25.6,-1.3,0.4,-1.7,0.5,3.8,0.066,
2005-06,petermo01,Morris Peterson,SG,28,TOR,82,77,38.293,16.756,4.646,2.317,1.268,0.183,1.537,0.4361,0.3951,0.4645,0.8197,0.5169,15.3,0.5607,19.9,0.4,1.4,-1.0,1.9,5.9,0.09,
2005-06,terryja01,Jason Terry,PG,28,DAL,80,80,34.975,17.137,1.975,3.825,1.25,0.338,1.688,0.4695,0.4111,0.5051,0.8,0.5473,18.4,0.5754,22.2,3.3,3.6,-0.2,3.7,9.6,0.165,7
