season,team,rank,record,players_active,avg_age,total_cap_allocations,cap_space,active_payroll,active_top3,dead_cap
2025-26,POR,15,42-40,15,25.2,197927822,-43280822,159149269,78775001,28040523
2025-26,MIA,16,43-39,15,25.2,197952062,-43305062,159827661,96319835,26643031
2025-26,LAC,17,42-40,15,27.5,199054230,-44407230,189852974,116026090,263940
2025-26,PHI,18,45-37,15,26.4,199898431,-45251431,192381622,144849376,1123547
2025-26,DAL,19,26-56,15,26.0,200372430,-45725430,174224556,88319088,10343186
2025-26,DEN,20,54-28,15,26.7,200743895,-46096895,187214031,124460081,
2025-26,HOU,21,52-30,15,27.8,201412484,-46765484,194771442,113653563,
2025-26,NOP,22,26-56,15,25.1,207453274,-52806274,182257822,102095408,5469850
2025-26,PHX,23,45-37,15,25.8,207796989,-53149989,162373811,108850873,25493325
2025-26,NYK,24,53-29,15,26.1,209823691,-55176691,207454264,127655231,73153
2025-26,LAL,25,53-29,15,26.7,211399497,-56752497,194334002,116886072,991577
2025-26,SAC,26,22-60,15,27.3,213853369,-59206369,187271649,114405660,395910
2025-26,CLE,27,52-30,15,27.3,226181970,-71534970,211979654,132234290,424672
2025-26,MIN,28,49-33,15,26.9,228841297,-74194297,194042641,111414710,
2025-26,WAS,29,17-65,15,23.8,232033397,-77386397,162858635,112328790,23844113
2025-26,GSW,30,37-45,15,28.8,234222725,-79575725,204850563,144464974,263940
