player_id,player_name,split,log_aav_cap_share,deal_year,years,has_prior_stats,prior_games,prior_ppg,prior_mpg,prior_per,prior_bpm,prior_vorp,prior_ws,prior_ws48,prior_usg_pct,prior_ts_pct,prior_ast,prior_trb,prior_blk,prior_stl,prior_tov,career_seasons,career_games,career_ppg,career_mpg,career_vorp,career_ws,recent3_vorp,recent3_ws,age_at_signing,height_inches,weight_lb,years_pro,incumbent,player_option,max_tier_pct,supermax,outstanding_options,team_srs,team_nrtg,team_mov,team_wins,team_made_playoffs,team_champion,team_cap_space_m,team_active_payroll_m,team_dead_cap_m,team_players_active,prior_srs,prior_nrtg,prior_mov,prior_wins,prior_made_playoffs,prior_champion,prior_cap_space_m,prior_active_payroll_m,prior_dead_cap_m,prior_players_active,prior_team_big_market,prior_team_metro_pop_m,team_big_market,team_metro_pop_m,team_dma_rank,mid_season,signed_via_extension,signed_via_free_agency,signed_via_offer_sheet,signed_via_sign_and_trade,fa_status_RFA,fa_status_UFA,fa_status_na,cba_regime_cba_2017,cba_regime_cba_2023,cba_regime_pre_2017,pos_C,pos_PF,pos_PG,pos_SF,pos_SG,pos_na,team_market_size_ord,prior_team_market_size_ord,undrafted
adebaba01,Bam Adebayo,test,-1.062461,2024,3,1,71.0,19.254,34.028,19.8,2.4,2.7,7.2,0.143,24.9,0.5757,3.915,10.38,0.93,1.141,2.282,7,489.0,15.36,30.02,17.1,50.1,7.7,21.8,27,81,255,7,1.0,1,0.3,0,0,1.1,1.8,1.76,46.0,1.0,0.0,-44.734,172.894,1.802,15.0,1.1,1.8,1.76,46.0,1.0,0.0,-44.734,172.894,1.802,15.0,0.0,6.266,0,6.266,18.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1.0,0
afflaar01,Arron Afflalo,train,-2.169054,2015,2,1,78.0,13.269,32.077,10.7,-2.5,-0.3,2.6,0.05,19.0,0.5329,1.654,3.167,0.09,0.526,1.487,8,577.0,11.43,28.07,4.2,29.4,0.3,9.9,30,77,210,8,1.0,0,0.3,0,0,-9.5,-10.1,-9.32,17.0,0.0,0.0,-21.133,54.41,26.22,15.0,-9.5,-10.1,-9.32,17.0,0.0,0.0,-21.133,54.41,26.22,15.0,1.0,19.113,1,19.113,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2.0,0
afflaar01,Arron Afflalo,train,-2.019086,2016,2,1,71.0,12.803,33.394,10.9,-2.9,-0.5,2.7,0.055,17.9,0.5306,2.028,3.746,0.141,0.352,1.155,9,648.0,11.58,28.65,3.7,32.1,0.3,10.6,31,77,210,9,0.0,0,0.3,0,0,-2.32,-2.4,-2.48,33.0,0.0,0.0,-2.671,71.734,0.938,15.0,-2.74,-3.0,-2.73,32.0,0.0,0.0,10.188,59.283,0.529,12.0,1.0,19.113,0,2.453,20.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2.0,0
ajincal01,Alexis Ajinça,train,-2.679879,2015,4,1,68.0,6.515,14.074,19.9,-0.3,0.4,3.2,0.161,21.1,0.5945,0.691,4.632,0.75,0.309,1.015,5,195.0,5.1,12.62,-0.2,5.6,0.3,5.3,27,86,248,7,1.0,0,0.3,0,0,1.13,0.9,0.79,45.0,1.0,0.0,-8.464,68.28,2.133,14.0,1.13,0.9,0.79,45.0,1.0,0.0,-8.464,68.28,2.133,14.0,0.0,1.29,0,1.29,50.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0
aldamsa01,Santi Aldama,test,-2.178944,2025,3,1,65.0,12.477,25.538,16.8,3.2,2.2,5.0,0.145,18.5,0.5882,2.892,6.4,0.446,0.8,1.092,4,235.0,9.76,22.64,3.7,12.3,4.0,12.0,24,84,215,4,1.0,0,0.25,0,0,4.79,4.7,4.85,48.0,1.0,0.0,-27.227,155.85,8.015,15.0,4.79,4.7,4.85,48.0,1.0,0.0,-27.227,155.85,8.015,15.0,0.0,1.358,0,1.358,51.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0
aldrico01,Cole Aldrich,train,-4.095774,2015,2,1,61.0,5.541,16.0,18.1,0.3,0.6,2.2,0.108,18.3,0.5134,1.23,5.541,1.066,0.607,0.967,5,196.0,3.09,10.25,0.8,4.8,0.8,4.0,27,83,253,5,1.0,0,0.25,0,0,6.8,6.9,6.59,56.0,1.0,0.0,-19.845,77.555,3.075,15.0,6.8,6.9,6.59,56.0,1.0,0.0,-19.845,77.555,3.075,15.0,1.0,12.901,1,12.901,2.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2.0,0
aldrico01,Cole Aldrich,train,-2.556941,2016,3,1,60.0,5.467,13.333,21.3,2.4,0.9,3.5,0.21,18.4,0.626,0.833,4.8,1.133,0.783,1.067,6,256.0,3.64,10.97,1.7,8.3,1.8,6.9,28,83,253,6,0.0,0,0.25,0,0,-3.38,-3.6,-3.54,29.0,0.0,0.0,-2.747,59.841,10.812,14.0,4.13,4.5,4.28,53.0,1.0,0.0,-29.998,94.554,1.586,15.0,1.0,12.901,0,3.703,16.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2.0,0
aldrila01,LaMarcus Aldridge,train,-1.202783,2015,4,1,71.0,23.394,35.38,22.8,2.9,3.1,8.6,0.164,30.2,0.5275,1.746,10.225,0.958,0.676,1.718,9,648.0,19.39,35.45,20.5,69.3,8.1,23.3,30,83,250,9,1.0,0,0.3,0,0,6.34,6.5,6.2,55.0,1.0,0.0,-9.123,69.028,1.351,15.0,6.34,6.5,6.2,55.0,1.0,0.0,-9.123,69.028,1.351,15.0,0.0,2.602,0,2.602,31.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0,0
aldrila01,LaMarcus Aldridge,train,-1.404812,2017,2,1,72.0,17.264,32.431,18.6,0.8,1.7,7.2,0.148,24.5,0.532,1.931,7.264,1.222,0.639,1.361,11,794.0,19.06,34.72,24.7,86.6,7.3,25.9,32,83,250,11,1.0,1,0.35,0,0,7.13,7.6,7.2,61.0,1.0,0.0,-14.229,104.867,3.505,15.0,7.13,7.6,7.2,61.0,1.0,0.0,-14.229,104.867,3.505,15.0,0.0,2.602,0,2.602,31.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0
alexani01,Nickeil Alexander-Walker,val,-3.408732,2023,2,1,59.0,6.153,14.983,11.6,-0.9,0.2,1.1,0.06,17.9,0.5647,1.831,1.712,0.356,0.542,0.932,4,217.0,8.43,18.19,-0.3,1.7,0.1,1.9,25,77,205,4,1.0,0,0.25,0,0,-0.22,-0.1,-0.04,42.0,1.0,0.0,-51.252,141.489,1.836,15.0,-0.22,-0.1,-0.04,42.0,1.0,0.0,-51.252,141.489,1.836,15.0,0.0,3.703,0,3.703,16.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1.0,0
