player_id,player_name,deal_date,deal_year,team,years,signed_via,deal_type,fa_status,aav_m,salary_cap_m,aav_cap_share,log_aav_cap_share,has_prior_stats,prior_games,prior_ppg,prior_mpg,prior_per,prior_bpm,prior_vorp,prior_ws,prior_ws48,prior_usg_pct,prior_ts_pct,prior_ast,prior_trb,prior_blk,prior_stl,prior_tov,career_seasons,career_games,career_ppg,career_mpg,career_vorp,career_ws,recent3_vorp,recent3_ws,pos,age_at_signing,height_inches,weight_lb,years_pro,draft_year,incumbent,player_option,team_option,max_tier_pct,supermax,outstanding_options,team_srs,team_nrtg,team_mov,team_wins,team_made_playoffs,team_champion,team_cap_space_m,team_active_payroll_m,team_dead_cap_m,team_players_active,prior_team,prior_srs,prior_nrtg,prior_mov,prior_wins,prior_made_playoffs,prior_champion,prior_cap_space_m,prior_active_payroll_m,prior_dead_cap_m,prior_players_active,prior_team_big_market,prior_team_market_size,prior_team_metro_pop_m,team_big_market,team_market_size,team_metro_pop_m,team_dma_rank,team_tv_homes_m,cba_regime
adebaba01,Bam Adebayo,"Jul 06, 2024",2024,MIA,3,extension,maximum,,53.447,154.647,0.345604,-1.062461,1,71,19.254,34.028,19.8,2.4,2.7,7.2,0.143,24.9,0.5757,3.915,10.38,0.93,1.141,2.282,7,489.0,15.36,30.02,17.1,50.1,7.7,21.8,C,27,81,255,7,2017,1,1,,0.3,0,0,1.1,1.8,1.76,46.0,1.0,0.0,-44.734,172.894,1.802,15,MIA,1.1,1.8,1.76,46.0,1.0,0.0,-44.734,172.894,1.802,15,0,Medium,6.266,0,Medium,6.266,18,1.75692,cba_2023
afflaar01,Arron Afflalo,"Jul 09, 2015",2015,NYK,2,free_agency,standard,UFA,8.0,70.0,0.114286,-2.169054,1,78,13.269,32.077,10.7,-2.5,-0.3,2.6,0.05,19.0,0.5329,1.654,3.167,0.09,0.526,1.487,8,577.0,11.43,28.07,4.2,29.4,0.3,9.9,SG,30,77,210,8,2007,1,0,,0.3,0,0,-9.5,-10.1,-9.32,17.0,0.0,0.0,-21.133,54.41,26.22,15,NYK,-9.5,-10.1,-9.32,17.0,0.0,0.0,-21.133,54.41,26.22,15,1,Large,19.113,1,Large,19.113,1,7.49451,pre_2017
afflaar01,Arron Afflalo,"Jul 09, 2016",2016,SAC,2,free_agency,standard,UFA,12.5,94.143,0.132777,-2.019086,1,71,12.803,33.394,10.9,-2.9,-0.5,2.7,0.055,17.9,0.5306,2.028,3.746,0.141,0.352,1.155,9,648.0,11.58,28.65,3.7,32.1,0.3,10.6,SG,31,77,210,9,2007,0,0,,0.3,0,0,-2.32,-2.4,-2.48,33.0,0.0,0.0,-2.671,71.734,0.938,15,NYK,-2.74,-3.0,-2.73,32.0,0.0,0.0,10.188,59.283,0.529,12,1,Large,19.113,0,Small,2.453,20,1.49792,pre_2017
ajincal01,Alexis Ajinça,"Jul 09, 2015",2015,NOP,4,free_agency,standard,UFA,4.8,70.0,0.068571,-2.679879,1,68,6.515,14.074,19.9,-0.3,0.4,3.2,0.161,21.1,0.5945,0.691,4.632,0.75,0.309,1.015,5,195.0,5.1,12.62,-0.2,5.6,0.3,5.3,C,27,86,248,7,2008,1,0,,0.3,0,0,1.13,0.9,0.79,45.0,1.0,0.0,-8.464,68.28,2.133,14,NOP,1.13,0.9,0.79,45.0,1.0,0.0,-8.464,68.28,2.133,14,0,Small,1.29,0,Small,1.29,50,0.67279,pre_2017
aldamsa01,Santi Aldama,"Jul 15, 2025",2025,MEM,3,free_agency,standard,RFA,17.5,154.647,0.113161,-2.178944,1,65,12.477,25.538,16.8,3.2,2.2,5.0,0.145,18.5,0.5882,2.892,6.4,0.446,0.8,1.092,4,235.0,9.76,22.64,3.7,12.3,4.0,12.0,PF,24,84,215,4,2021,1,0,,0.25,0,0,4.79,4.7,4.85,48.0,1.0,0.0,-27.227,155.85,8.015,15,MEM,4.79,4.7,4.85,48.0,1.0,0.0,-27.227,155.85,8.015,15,0,Small,1.358,0,Small,1.358,51,0.6663,cba_2023
aldrico01,Cole Aldrich,"Jul 13, 2015",2015,LAC,2,free_agency,standard,UFA,1.165,70.0,0.016643,-4.095774,1,61,5.541,16.0,18.1,0.3,0.6,2.2,0.108,18.3,0.5134,1.23,5.541,1.066,0.607,0.967,5,196.0,3.09,10.25,0.8,4.8,0.8,4.0,C,27,83,253,5,2010,1,0,,0.25,0,0,6.8,6.9,6.59,56.0,1.0,0.0,-19.845,77.555,3.075,15,LAC,6.8,6.9,6.59,56.0,1.0,0.0,-19.845,77.555,3.075,15,1,Large,12.901,1,Large,12.901,2,5.83579,pre_2017
aldrico01,Cole Aldrich,"Jul 13, 2016",2016,MIN,3,free_agency,standard,UFA,7.3,94.143,0.077542,-2.556941,1,60,5.467,13.333,21.3,2.4,0.9,3.5,0.21,18.4,0.626,0.833,4.8,1.133,0.783,1.067,6,256.0,3.64,10.97,1.7,8.3,1.8,6.9,C,28,83,253,6,2010,0,0,,0.25,0,0,-3.38,-3.6,-3.54,29.0,0.0,0.0,-2.747,59.841,10.812,14,LAC,4.13,4.5,4.28,53.0,1.0,0.0,-29.998,94.554,1.586,15,1,Large,12.901,0,Medium,3.703,16,1.88668,pre_2017
aldrila01,LaMarcus Aldridge,"Jul 09, 2015",2015,SAS,4,free_agency,maximum,UFA,21.025,70.0,0.300357,-1.202783,1,71,23.394,35.38,22.8,2.9,3.1,8.6,0.164,30.2,0.5275,1.746,10.225,0.958,0.676,1.718,9,648.0,19.39,35.45,20.5,69.3,8.1,23.3,PF,30,83,250,9,2006,1,0,,0.3,0,0,6.34,6.5,6.2,55.0,1.0,0.0,-9.123,69.028,1.351,15,SAS,6.34,6.5,6.2,55.0,1.0,0.0,-9.123,69.028,1.351,15,0,Small,2.602,0,Small,2.602,31,1.0964,pre_2017
aldrila01,LaMarcus Aldridge,"Oct 16, 2017",2017,SAS,2,extension,extension,,25.0,101.869,0.245413,-1.404812,1,72,17.264,32.431,18.6,0.8,1.7,7.2,0.148,24.5,0.532,1.931,7.264,1.222,0.639,1.361,11,794.0,19.06,34.72,24.7,86.6,7.3,25.9,PF,32,83,250,11,2006,1,1,,0.35,0,0,7.13,7.6,7.2,61.0,1.0,0.0,-14.229,104.867,3.505,15,SAS,7.13,7.6,7.2,61.0,1.0,0.0,-14.229,104.867,3.505,15,0,Small,2.602,0,Small,2.602,31,1.0964,cba_2017
alexani01,Nickeil Alexander-Walker,"Jul 09, 2023",2023,MIN,2,free_agency,standard,UFA,4.5,136.021,0.033083,-3.408732,1,59,6.153,14.983,11.6,-0.9,0.2,1.1,0.06,17.9,0.5647,1.831,1.712,0.356,0.542,0.932,4,217.0,8.43,18.19,-0.3,1.7,0.1,1.9,SG,25,77,205,4,2019,1,0,,0.25,0,0,-0.22,-0.1,-0.04,42.0,1.0,0.0,-51.252,141.489,1.836,15,MIN,-0.22,-0.1,-0.04,42.0,1.0,0.0,-51.252,141.489,1.836,15,0,Medium,3.703,0,Medium,3.703,16,1.88668,cba_2023
alexani01,Nickeil Alexander-Walker,"Jul 06, 2025",2025,ATL,4,sign_and_trade,standard,UFA,15.5,154.647,0.100228,-2.300305,1,82,9.427,25.28,11.6,-0.4,0.8,4.3,0.1,16.0,0.5787,2.72,3.232,0.415,0.61,1.207,6,381.0,8.55,20.85,1.6,10.3,2.1,9.7,SG,27,77,205,6,2019,0,1,,0.25,0,0,-1.41,-1.1,-1.13,40.0,0.0,0.0,-33.831,161.256,7.126,15,MIN,5.15,5.1,5.0,49.0,1.0,0.0,-96.138,198.848,3.706,15,0,Medium,3.703,1,Large,6.144,7,2.75817,cba_2023
allengr01,Grayson Allen,"Oct 18, 2021",2021,MIL,2,extension,rookie-scale,,10.0,123.655,0.08087,-2.51491,1,50,10.64,25.18,12.8,-0.2,0.6,2.7,0.103,16.8,0.5859,2.16,3.2,0.16,0.92,0.96,3,126.0,8.52,18.99,0.2,3.9,0.2,3.9,SG,26,75,198,3,2018,0,0,,0.25,0,0,5.57,5.8,5.89,46.0,1.0,1.0,-24.084,126.409,6.815,15,MEM,1.07,1.0,1.03,38.0,1.0,0.0,-25.105,96.358,34.646,15,0,Small,1.358,0,Small,1.586,38,0.9449,cba_2017
allengr01,Grayson Allen,"Apr 16, 2024",2024,PHX,4,extension,extension,,17.5,154.647,0.113161,-2.178944,1,75,13.52,33.507,13.8,1.3,2.0,6.9,0.132,14.5,0.679,3.027,3.933,0.6,0.92,1.267,6,339.0,10.53,25.61,4.3,20.1,4.1,16.2,SG,29,75,198,6,2018,1,1,,0.3,0,0,3.08,3.0,3.06,49.0,1.0,0.0,-59.2,188.29,3.041,16,PHX,3.08,3.0,3.06,49.0,1.0,0.0,-59.2,188.29,3.041,16,0,Large,5.059,0,Large,5.059,12,2.1982,cba_2023
allenja01,Jarrett Allen,"Aug 06, 2021",2021,CLE,5,free_agency,standard,RFA,20.0,112.414,0.177914,-1.726456,1,63,12.794,29.587,20.1,1.1,1.4,6.4,0.165,16.6,0.6611,1.683,10.016,1.429,0.508,1.587,4,285.0,10.67,25.45,5.8,26.4,5.3,22.2,C,23,81,243,4,2017,1,0,,0.25,0,0,-8.19,-8.6,-8.44,22.0,0.0,0.0,-17.387,95.789,30.739,15,CLE,-8.19,-8.6,-8.44,22.0,0.0,0.0,-17.387,95.789,30.739,15,0,Medium,2.088,0,Medium,2.088,19,1.55434,cba_2017
allenja01,Jarrett Allen,"Aug 02, 2024",2024,CLE,3,extension,extension,,30.24,154.647,0.195542,-1.63198,1,77,16.506,31.714,21.8,3.0,3.1,10.7,0.21,19.4,0.6639,2.727,10.532,1.052,0.688,1.571,7,486.0,12.73,28.24,14.0,55.1,8.2,28.7,C,26,81,243,7,2017,1,0,,0.3,0,0,1.98,2.5,2.41,48.0,1.0,0.0,-32.23,160.093,4.119,15,CLE,1.98,2.5,2.41,48.0,1.0,0.0,-32.23,160.093,4.119,15,0,Medium,2.088,0,Medium,2.088,19,1.55434,cba_2023
allenla01,Lavoy Allen,"Jul 27, 2015",2015,IND,2,free_agency,standard,RFA,4.025,70.0,0.0575,-2.85597,1,63,5.0,16.984,14.9,0.0,0.6,2.8,0.126,15.2,0.4927,1.159,5.127,0.667,0.238,0.635,4,248.0,5.01,17.88,-0.4,8.4,-0.4,6.8,C,26,81,260,3,2011,1,0,,0.25,0,1,-0.23,0.3,0.28,38.0,0.0,0.0,-12.934,74.799,,15,IND,-0.23,0.3,0.28,38.0,0.0,0.0,-12.934,74.799,,15,0,Small,2.126,0,Small,2.126,25,1.23221,pre_2017
alvarjo01,Jose Alvarado,"Sep 30, 2024",2024,NOP,2,extension,extension,,4.5,154.647,0.029099,-3.537068,1,56,7.089,18.357,12.5,-0.1,0.5,2.1,0.098,17.3,0.5396,2.089,2.286,0.268,1.054,0.714,3,171.0,7.47,18.55,1.6,6.0,1.6,6.0,PG,26,72,179,3,,1,0,,0.25,0,1,4.46,4.5,4.41,49.0,1.0,0.0,-40.949,164.657,0.245,15,NOP,4.46,4.5,4.41,49.0,1.0,0.0,-40.949,164.657,0.245,15,0,Small,1.29,0,Small,1.29,50,0.67279,cba_2023
alvarjo01,Jose Alvarado,"Jul 06, 2026",2026,NYK,3,free_agency,standard,UFA,4.793,170.1117,0.028178,-3.569229,1,69,7.391,19.855,12.1,-1.0,0.3,2.2,0.077,16.8,0.5434,3.391,2.478,0.116,0.957,1.116,5,296.0,7.99,19.96,2.1,9.4,1.0,5.5,PG,28,72,179,5,,1,0,,0.25,0,0,6.05,6.5,6.33,53.0,1.0,1.0,-55.177,207.454,0.073,15,NYK,6.05,6.5,6.33,53.0,1.0,1.0,-55.177,207.454,0.073,15,1,Large,19.113,1,Large,19.113,1,7.49451,cba_2023
aminual01,Al-Farouq Aminu,"Jul 28, 2014",2014,DAL,2,free_agency,standard,RFA,1.04,63.065,0.016491,-4.104945,1,80,7.15,25.562,13.2,-0.6,0.7,3.1,0.073,14.3,0.516,1.425,6.2,0.475,1.025,1.1,4,303.0,6.54,23.23,1.3,8.3,1.6,7.6,SF,24,81,220,4,2010,1,0,,0.25,0,1,,,,,,,,,,,DAL,,,,,,,,,,,1,Large,7.943,1,Large,7.943,4,3.26449,pre_2017
aminual01,Al-Farouq Aminu,"Jul 09, 2015",2015,POR,4,free_agency,standard,UFA,7.5,70.0,0.107143,-2.233592,1,74,5.568,18.459,14.4,0.7,1.0,3.3,0.116,15.2,0.5038,0.797,4.622,0.838,0.946,0.743,5,377.0,6.35,22.3,2.3,11.6,2.7,9.5,SF,25,81,220,5,2010,1,0,,0.25,0,1,4.41,4.5,4.23,51.0,1.0,0.0,-10.845,72.965,0.03,16,POR,4.41,4.5,4.23,51.0,1.0,0.0,-10.845,72.965,0.03,16,0,Small,2.511,0,Small,2.511,23,1.27792,pre_2017
aminual01,Al-Farouq Aminu,"Jul 06, 2019",2019,ORL,3,free_agency,standard,UFA,9.733,109.14,0.089182,-2.417075,1,81,9.383,28.296,13.2,0.7,1.5,5.8,0.121,13.7,0.5679,1.284,7.531,0.407,0.84,0.889,9,670.0,7.72,25.2,6.7,27.5,3.2,11.9,PF,29,81,220,9,2010,0,0,,0.3,0,1,0.28,0.8,0.71,42.0,1.0,0.0,-15.892,112.687,1.984,15,POR,4.43,4.2,4.2,53.0,1.0,0.0,-31.227,128.005,5.091,15,0,Small,2.511,0,Medium,2.673,15,1.90242,cba_2017
anderal01,Alan Anderson,"Jul 15, 2014",2014,BKN,2,free_agency,standard,UFA,1.3,63.065,0.020614,-3.881802,1,78,7.231,22.731,9.5,-2.8,-0.4,1.7,0.046,15.9,0.5252,1.038,2.244,0.141,0.615,0.795,5,213.0,8.1,21.36,-0.8,4.1,-0.4,3.6,SF,32,78,220,9,,1,1,,0.3,0,0,,,,,,,,,,,BKN,,,,,,,,,,,1,Large,19.113,1,Large,19.113,1,7.49451,pre_2017
anderch01,Chris Andersen,"Jul 19, 2014",2014,MIA,2,free_agency,standard,UFA,5.188,63.065,0.082256,-2.497914,1,72,6.625,19.389,18.5,1.2,1.1,6.0,0.206,13.8,0.6827,0.264,5.264,1.347,0.444,0.736,8,375.0,5.78,18.66,6.0,26.4,1.9,10.6,C,36,82,245,13,,1,0,,0.35,0,0,,,,,,,,,,,MIA,,,,,,,,,,,0,Medium,6.266,0,Medium,6.266,18,1.75692,pre_2017
anderju01,Justin Anderson,"Aug 01, 2015",2015,DAL,2,free_agency,standard,,1.48,70.0,0.021143,-3.856453,0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0,0.0,,22,78,230,0,2015,1,0,,0.25,0,2,3.36,3.1,2.9,50.0,1.0,0.0,-11.95,72.184,2.831,16,DAL,3.36,3.1,2.9,50.0,1.0,0.0,-11.95,72.184,2.831,16,1,Large,7.943,1,Large,7.943,4,3.26449,pre_2017
anderju01,Justin Anderson,"Nov 27, 2020",2020,PHI,2,free_agency,standard,UFA,2.005,109.14,0.018371,-3.996987,1,10,2.8,10.7,3.2,-7.7,-0.2,-0.1,-0.045,17.1,0.3521,0.8,2.1,0.6,0.0,0.4,5,226.0,5.23,13.12,0.4,4.5,-0.2,1.5,SG,27,78,230,5,2015,0,0,,0.25,0,0,2.25,2.3,2.38,43.0,1.0,0.0,-20.963,126.784,3.319,15,BKN,-1.01,-0.6,-0.57,35.0,1.0,0.0,-19.125,94.821,7.854,16,1,Large,19.113,1,Large,6.228,5,3.14592,cba_2017
anderky01,Kyle Anderson,"Jul 12, 2014",2014,SAS,2,free_agency,standard,,1.12,63.065,0.017759,-4.030837,0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0,0.0,,21,80,230,0,2014,1,0,,0.25,0,2,,,,,,,,,,,SAS,,,,,,,,,,,0,Small,2.602,0,Small,2.602,31,1.0964,pre_2017
anderky01,Kyle Anderson,"Jul 08, 2018",2018,MEM,4,offer_sheet,standard,RFA,9.3,101.869,0.091294,-2.393673,1,74,7.905,26.73,15.9,2.9,2.4,6.2,0.15,13.5,0.5824,2.73,5.351,0.811,1.554,1.27,4,257.0,4.88,17.9,4.6,12.7,4.5,12.4,SF,25,80,230,4,2014,0,0,,0.25,0,0,-5.81,-6.5,-6.21,22.0,0.0,0.0,-13.63,100.034,9.869,15,SAS,2.89,3.1,2.89,47.0,1.0,0.0,-18.532,113.237,2.916,15,0,Small,2.602,0,Small,1.358,51,0.6663,cba_2017
anderky01,Kyle Anderson,"Jul 07, 2022",2022,MIN,2,free_agency,standard,UFA,9.0,123.655,0.072783,-2.620271,1,69,7.551,21.507,14.4,1.2,1.2,3.5,0.113,16.2,0.5056,2.652,5.333,0.652,1.116,1.029,8,505.0,6.67,20.96,10.1,27.0,4.6,11.6,PF,29,80,230,8,2014,0,0,,0.3,0,0,2.53,2.6,2.63,46.0,1.0,0.0,-53.32,136.155,,15,MEM,5.37,5.6,5.68,56.0,1.0,0.0,-3.58,98.319,17.675,15,0,Small,1.358,0,Medium,3.703,16,1.88668,cba_2017
anderky01,Kyle Anderson,"Jul 06, 2024",2024,MIN,3,sign_and_trade,standard,UFA,9.22,140.588,0.065582,-2.724459,1,79,6.405,22.557,12.7,1.1,1.4,4.5,0.121,14.5,0.5129,4.19,3.456,0.595,0.899,1.152,10,653.0,6.92,21.93,13.7,36.6,4.8,13.1,PF,31,80,230,10,2014,1,0,,0.35,0,0,6.39,6.6,6.45,56.0,1.0,0.0,-62.477,164.181,0.348,15,MIN,6.39,6.6,6.45,56.0,1.0,0.0,-62.477,164.181,0.348,15,0,Medium,3.703,0,Medium,3.703,16,1.88668,cba_2023
anderry01,Ryan Anderson,"Jul 09, 2016",2016,HOU,4,free_agency,standard,UFA,20.0,94.143,0.212443,-1.549083,1,66,17.03,30.424,17.2,-0.2,0.9,3.9,0.093,24.7,0.546,1.106,6.0,0.379,0.576,1.364,8,484.0,13.09,26.02,11.4,37.1,2.2,9.7,PF,28,81,240,8,2008,0,0,,0.3,0,0,0.34,0.2,0.2,41.0,1.0,0.0,-18.387,75.205,13.182,15,NOP,-3.56,-3.9,-3.79,30.0,0.0,0.0,-11.426,80.165,1.261,18,0,Small,1.29,1,Large,7.206,6,2.79742,pre_2017
antetgi01,Giannis Antetokounmpo,"Sep 19, 2016",2016,MIL,4,extension,extension,,25.0,99.093,0.252288,-1.377183,1,80,16.875,35.288,18.8,2.1,2.9,7.1,0.121,22.3,0.5658,4.312,7.65,1.413,1.175,2.6,3,238.0,12.21,30.51,3.9,14.5,3.9,14.5,PG,22,83,243,3,2013,1,0,,0.25,0,0,-3.98,-4.4,-4.18,33.0,0.0,0.0,-0.58,68.656,1.923,15,MIL,-3.98,-4.4,-4.18,33.0,0.0,0.0,-0.58,68.656,1.923,15,0,Small,1.586,0,Small,1.586,38,0.9449,pre_2017
antetgi01,Giannis Antetokounmpo,"Dec 15, 2020",2020,MIL,5,extension,maximum,,45.64,112.414,0.405999,-0.901404,1,63,29.476,30.429,31.9,11.5,6.6,11.1,0.278,37.5,0.613,5.619,13.587,1.048,0.968,3.651,7,528.0,20.08,32.46,30.3,64.3,19.7,37.4,PF,26,83,243,7,2013,1,1,,0.35,1,0,9.41,9.5,10.08,56.0,1.0,0.0,-21.09,120.509,9.721,15,MIL,9.41,9.5,10.08,56.0,1.0,0.0,-21.09,120.509,9.721,15,0,Small,1.586,0,Small,1.586,38,0.9449,cba_2017
antetgi01,Giannis Antetokounmpo,"Oct 23, 2023",2023,MIL,3,extension,extension,,58.457,140.588,0.415801,-0.877548,1,63,31.095,32.127,29.0,8.5,5.4,8.6,0.204,38.8,0.6055,5.698,11.778,0.81,0.825,3.905,10,719.0,22.64,32.51,48.7,96.0,18.4,31.7,PF,29,83,243,10,2013,1,0,,0.35,0,0,3.61,3.5,3.63,58.0,1.0,0.0,-58.194,179.802,0.211,15,MIL,3.61,3.5,3.63,58.0,1.0,0.0,-58.194,179.802,0.211,15,0,Small,1.586,0,Small,1.586,38,0.9449,cba_2023
antetth01,Thanasis Antetokounmpo,"Aug 07, 2015",2015,NYK,2,free_agency,standard,RFA,0.7,70.0,0.01,-4.60517,0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0,0.0,,23,79,219,0,2014,1,0,,0.25,0,1,-9.5,-10.1,-9.32,17.0,0.0,0.0,-21.133,54.41,26.22,15,NYK,-9.5,-10.1,-9.32,17.0,0.0,0.0,-21.133,54.41,26.22,15,1,Large,19.113,1,Large,19.113,1,7.49451,pre_2017
antetth01,Thanasis Antetokounmpo,"Jul 16, 2019",2019,MIL,2,free_agency,standard,RFA,1.575,109.14,0.014431,-4.238376,0,,,,,,,,,,,,,,,,1,2.0,3.0,3.0,0.0,0.0,0.0,0.0,SF,27,79,219,3,2014,1,0,,0.25,0,1,8.04,8.6,8.87,60.0,1.0,0.0,-22.044,114.956,7.413,15,MIL,8.04,8.6,8.87,60.0,1.0,0.0,-22.044,114.956,7.413,15,0,Small,1.586,0,Small,1.586,38,0.9449,cba_2017
