player_id,player_name,spotrac_id,deal_date,deal_year,team,total_value_m,deal_type,verified,fa_status,max_tier_pct,max_tier_aav_pct,aav_over_tier,signed_max,supermax,signed_via,prior_team,incumbent,player_option,team_option,outstanding_options,contract_start_year,salary_cap_m,aav_m,aav_cap_share,log_aav_cap_share,end_year,completed,years_remaining,market,year1_salary,signing_season_salary_m,team_dma_rank,team_tv_homes_m,team_metro_pop_m,team_market_size,team_big_market,prior_team_dma_rank,prior_team_tv_homes_m,prior_team_metro_pop_m,prior_team_market_size,prior_team_big_market
afflaar01,Arron Afflalo,2297,"Jul 09, 2016",2016,SAC,25.0,standard,1,UFA,0.3,0.312,0,0,0,free_agency,NYK,0,0,,0,2016,94.143,12.5,0.132777,-2.019086,2017,1,0,1,,12.5,20,1.49792,2.453,Small,0,1,7.49451,19.113,Large,1
agbajoc01,Ochai Agbaji,78124,"Jul 02, 2022",2022,CLE,18.73,rookie-scale,1,,0.25,0.28,0,0,0,rookie_scale,UTA,0,0,,2,2022,123.655,4.683,0.037867,-3.273663,2025,1,0,0,,3.91836,19,1.55434,2.088,Medium,0,28,1.16352,1.266,Small,0
ajincal01,Alexis Ajinça,6087,"Jul 03, 2008",2008,CHA,2.65,standard,1,,0.25,0.26,0,0,0,free_agency,CHA,1,0,,1,2008,,1.325,,,2009,1,0,1,,,21,1.38202,2.66,Small,0,21,1.38202,2.66,Small,0
ajincal01,Alexis Ajinça,6087,"Dec 20, 2013",2013,NOP,1.62,standard,1,UFA,0.25,0.26,0,0,0,free_agency,NOP,1,0,,0,2013,,0.81,,,2014,1,0,1,,,50,0.67279,1.29,Small,0,50,0.67279,1.29,Small,0
ajincal01,Alexis Ajinça,6087,"Jul 09, 2015",2015,NOP,19.2,standard,1,UFA,0.3,0.336,0,0,0,free_agency,NOP,1,0,,0,2015,70.0,4.8,0.068571,-2.679879,2018,1,0,1,,4.3,50,0.67279,1.29,Small,0,50,0.67279,1.29,Small,0
aldamsa01,Santi Aldama,74137,"Aug 08, 2021",2021,MEM,10.24,rookie-scale,1,,0.25,0.28,0,0,0,rookie_scale,MEM,1,0,,2,2021,112.414,2.56,0.022773,-3.782181,2024,1,0,0,,1.99452,51,0.6663,1.358,Small,0,51,0.6663,1.358,Small,0
aldamsa01,Santi Aldama,74137,"Jul 15, 2025",2025,MEM,52.5,standard,1,RFA,0.25,0.27,0,0,0,free_agency,MEM,1,0,,0,2025,154.647,17.5,0.113161,-2.178944,2027,0,2,1,,18.485916,51,0.6663,1.358,Small,0,51,0.6663,1.358,Small,0
aldrico01,Cole Aldrich,6893,"Aug 09, 2010",2010,OKC,4.41,standard,1,,0.25,0.26,0,0,0,free_agency,OKC,1,0,,2,2010,,2.205,,,2011,1,0,1,,,47,0.7627,1.435,Small,0,47,0.7627,1.435,Small,0
aldrico01,Cole Aldrich,6893,"Sep 24, 2013",2013,NYK,0.916099,standard,1,RFA,0.25,0.25,0,0,0,free_agency,NYK,1,0,,0,2013,,0.916,,,2013,1,0,0,,,1,7.49451,19.113,Large,1,1,7.49451,19.113,Large,1
aldrico01,Cole Aldrich,6893,"Jul 11, 2014",2014,NYK,0.981,standard,1,RFA,0.25,0.25,0,0,0,free_agency,NYK,1,0,,0,2014,63.065,0.981,0.015555,-4.163349,2014,1,0,0,,,1,7.49451,19.113,Large,1,1,7.49451,19.113,Large,1
aldrico01,Cole Aldrich,6893,"Jul 13, 2015",2015,LAC,2.33,standard,1,UFA,0.25,0.26,0,0,0,free_agency,LAC,1,0,,0,2015,70.0,1.165,0.016643,-4.095774,2016,1,0,1,,1.1006,2,5.83579,12.901,Large,1,2,5.83579,12.901,Large,1
aldrico01,Cole Aldrich,6893,"Jul 13, 2016",2016,MIN,21.9,standard,1,UFA,0.25,0.27,0,0,0,free_agency,LAC,0,0,,0,2016,94.143,7.3,0.077542,-2.556941,2018,1,0,1,,7.643979,16,1.88668,3.703,Medium,0,2,5.83579,12.901,Large,1
aldrila01,LaMarcus Aldridge,2672,"Jul 04, 2006",2006,POR,8.36,standard,1,,0.25,0.26,0,0,0,free_agency,POR,1,0,,2,2006,,4.18,,,2007,1,0,1,,,23,1.27792,2.511,Small,0,23,1.27792,2.511,Small,0
