player_id,player_name,spotrac_id,matched_name,position,confidence
bouchch01,Chris Boucher,23671,Chris Boucher,Power Forward,high
bouknja01,James Bouknight,74118,James Bouknight,Shooting Guard,high
bouyeja01,Jamaree Bouyea,78578,Jamaree Bouyea,Point Guard,high
bowmaky01,Ky Bowman,32457,Ky Bowman,Shooting Guard,high
bradlav01,Avery Bradley,6901,Avery Bradley,Point Guard,high
bradlto01,Tony Bradley,23623,Tony Bradley,Center,high
branhma01,Malaki Branham,78120,Malaki Branham,Shooting Guard,high
braunch01,Christian Braun,78148,Christian Braun,Shooting Guard,high
brazdig01,Ignas Brazdeikis,31606,Ignas Brazdeikis,Small Forward,high
breweco01,Corey Brewer,2573,Corey Brewer,Shooting Guard,high
bridgmi01,Mikal Bridges,26976,Mikal Bridges,Small Forward,high
bridgmi02,Miles Bridges,26978,Miles Bridges,Small Forward,high
briscis01,Isaiah Briscoe,24479,Isaiah Briscoe,Point Guard,high
brissos01,Oshae Brissett,32418,Oshae Brissett,Small Forward,high
broekry01,Ryan Broekhoff,27626,Ryan Broekhoff,Small Forward,high
brogdma01,Malcolm Brogdon,20242,Malcolm Brogdon,Point Guard,high
brookaa01,Aaron Brooks,2390,Aaron Brooks,Point Guard,high
brookar01,Armoni Brooks,32812,Armoni Brooks,Shooting Guard,high
brookdi01,Dillon Brooks,23646,Dillon Brooks,Small Forward,high
brookma01,MarShon Brooks,8076,MarShon Brooks,Shooting Guard,high
brownan02,Anthony Brown,17862,Anthony Brown,Small Forward,high
brownbr01,Bruce Brown,27008,Bruce Brown Jr.,Shooting Guard,medium
browngr01,Greg Brown III,74150,Greg Brown III,Power Forward,high
brownja02,Jaylen Brown,20208,Jaylen Brown,Small Forward,high
brownko01,Kobe Brown,84464,Kobe Brown,Power Forward,high
brownma02,Markel Brown,15396,Markel Brown,Shooting Guard,high
brownmo01,Moses Brown,32830,Moses Brown,Center,high
brownst02,Sterling Brown,23647,Sterling Brown,Shooting Guard,high
browntr01,Troy Brown Jr.,26981,Troy Brown Jr.,Shooting Guard,high
brunsja01,Jalen Brunson,26999,Jalen Brunson,Point Guard,high
brussni01,Nicolás Brussino,20754,Nicolas Brussino,Small Forward,high
bryanca01,Carter Bryant,98614,Carter Bryant,Power Forward,high
bryanko01,Kobe Bryant,2514,Kobe Bryant,Small Forward,high
bryanth01,Thomas Bryant,23643,Thomas Bryant,Center,high
budinch01,Chase Budinger,6288,Chase Budinger,Small Forward,high
bullore01,Reggie Bullock,13338,Reggie Bullock,Small Forward,high
burketr01,Trey Burke,13322,Trey Burke,Point Guard,high
burksal01,Alec Burks,8063,Alec Burks,Shooting Guard,high
burtode02,Deonte Burton,28767,Deonte Burton,Small Forward,high
butleja02,Jared Butler,74147,Jared Butler,Point Guard,high
butleji01,Jimmy Butler,8081,Jimmy Butler,Small Forward,high
buzelma01,Matas Buzelis,91738,Matas Buzelis,Small Forward,high
cabocbr01,Bruno Caboclo,15372,Bruno Caboclo,Small Forward,high
cainja01,Jamal Cain,78584,Jamal Cain,Small Forward,high
caldejo01,José Calderón,2734,Jose Calderon,Point Guard,high
caldwke01,Kentavious Caldwell-Pope,13321,Kentavious Caldwell-Pope,Shooting Guard,high
camarto01,Toumani Camara,84478,Toumani Camara,Power Forward,high
campafa01,Facundo Campazzo,70736,Facundo Campazzo,Point Guard,high
canaais01,Isaiah Canaan,13347,Isaiah Canaan,Point Guard,high
cancavl01,Vlatko Čančar,23650,Vlatko Cancar,Power Forward,high
capelca01,Clint Capela,15377,Clint Capela,Center,high
cardwdy01,Dylan Cardwell,99643,Dylan Cardwell,Power Forward,high
carlsbr01,Branden Carlson,94490,Branden Carlson,Center,high
carrica01,Bub Carrington,91766,Bub Carrington,Point Guard,high
carrode01,DeMarre Carroll,6294,DeMarre Carroll,Small Forward,high
cartede02,Devin Carter,91758,Devin Carter,Point Guard,high
carteje01,Jevon Carter,26998,Jevon Carter,Point Guard,high
cartemi01,Michael Carter-Williams,13324,Michael Carter-Williams,Point Guard,high
cartevi01,Vince Carter,2590,Vince Carter,Shooting Guard,high
cartewe01,Wendell Carter Jr.,26973,Wendell Carter Jr.,Center,high
carusal01,Alex Caruso,21076,Alex Caruso,Shooting Guard,high
casspom01,Omri Casspi,6325,Omri Casspi,Small Forward,high
castlco01,Colin Castleton,84736,Colin Castleton,Power Forward,high
castlst01,Stephon Castle,91750,Stephon Castle,Point Guard,high
caulewi01,Willie Cauley-Stein,17834,Willie Cauley-Stein,Center,high
cavanty01,Tyler Cavanaugh,24294,Tyler Cavanaugh,Power Forward,high
chalmma01,Mario Chalmers,6128,Mario Chalmers,Point Guard,high
champju01,Justin Champagnie,74240,Justin Champagnie,Small Forward,high
champju02,Julian Champagnie,78268,Julian Champagnie,Small Forward,high
chandke01,Kennedy Chandler,78127,Kennedy Chandler,Point Guard,high
chandty01,Tyson Chandler,2605,Tyson Chandler,Center,high
chandwi01,Wilson Chandler,2616,Wilson Chandler,Small Forward,high
chiozch01,Chris Chiozza,28033,Chris Chiozza,Point Guard,high
chrisca02,Cam Christie,91777,Cameron Christie,Shooting Guard,medium
chrisjo01,Josh Christopher,74131,Josh Christopher,Shooting Guard,high
chrisma01,Marquese Chriss,20213,Marquese Chriss,Small Forward,high
chrisma02,Max Christie,78136,Max Christie,Shooting Guard,high
chrisse01,Semaj Christon,15407,Semaj Christon,Point Guard,high
cissemo01,Moussa Cisse,99882,Moussa Cisse,Forward,high
cissosi01,Sidy Cissoko,84471,Sidy Cissoko,Shooting Guard,high
clarkbr01,Brandon Clarke,31578,Brandon Clarke,Power Forward,high
clarkga01,Gary Clark,27627,Gary Clark,Power Forward,high
clarkia01,Ian Clark,13442,Ian Clark,Shooting Guard,high
clarkja02,Jaylen Clark,84479,Jaylen Clark,Shooting Guard,high
clarkjo01,Jordan Clarkson,15398,Jordan Clarkson,Shooting Guard,high
claxtni01,Nic Claxton,31590,Nicolas Claxton,Center,medium
claytwa01,Walter Clayton,98613,Walter Clayton Jr.,Point Guard,medium
cliffni01,Nique Clifford,98612,Nique Clifford,Small Forward,high
clingdo01,Donovan Clingan,91735,Donovan Clingan,Center,high
clownno01,Noah Clowney,82214,Noah Clowney,Power Forward,high
coffeam01,Amir Coffey,32198,Amir Coffey,Shooting Guard,high
coleno01,Norris Cole,8079,Norris Cole,Point Guard,high
collida01,Darren Collison,6307,Darren Collison,Point Guard,high
colliis01,Isaiah Collier,91753,Isaiah Collier,Point Guard,high
collijo01,John Collins,23614,John Collins,Power Forward,high
collini01,Nick Collison,2715,Nick Collison,Power Forward,high
colliza01,Zach Collins,23605,Zach Collins,Center,high
conlemi01,Mike Conley,2532,Mike Conley,Point Guard,high
connapa01,Pat Connaughton,17869,Pat Connaughton,Shooting Guard,high
cookqu01,Quinn Cook,18264,Quinn Cook,Point Guard,high
cookty01,Tyler Cook,32778,Tyler Cook,Power Forward,high
coopesh01,Sharife Cooper,74155,Sharife Cooper,Point Guard,high
coulibi01,Bilal Coulibaly,82317,Bilal Coulibaly,Small Forward,high
councri01,Ricky Council IV,84718,Ricky Council IV,Guard,high
couside01,DeMarcus Cousins,6886,DeMarcus Cousins,Center,high
covinro01,Robert Covington,13379,Robert Covington,Power Forward,high
cowarce01,Cedric Coward,98639,Cedric Coward,Shooting Guard,high
crabbal01,Allen Crabbe,13344,Allen Crabbe,Shooting Guard,high
craigto01,Torrey Craig,24230,Torrey Craig,Small Forward,high
crawfja01,Jamal Crawford,2618,Jamal Crawford,Shooting Guard,high
crowdja01,Jae Crowder,10859,Jae Crowder,Small Forward,high
culveja01,Jarrett Culver,31563,Jarrett Culver,Shooting Guard,high
cunnica01,Cade Cunningham,74108,Cade Cunningham,Point Guard,high
cunnida01,Dante Cunningham,6321,Dante Cunningham,Power Forward,high
curryse01,Seth Curry,13512,Seth Curry,Shooting Guard,high
curryst01,Stephen Curry,6287,Stephen Curry,Point Guard,high
daniedy01,Dyson Daniels,78114,Dyson Daniels,Point Guard,high
danietr01,Troy Daniels,13383,Troy Daniels,Shooting Guard,high
dasiltr01,Tristan Da Silva,91759,Tristan Da Silva,Small Forward,high
davisan02,Anthony Davis,10809,Anthony Davis,Center,high
davisde01,Deyonta Davis,20237,Deyonta Davis,Center,high
davised01,Ed Davis,6895,Ed Davis,Center,high
davisjo06,Johnny Davis,78117,Johnny Davis,Shooting Guard,high
daviste02,Terence Davis,32059,Terence Davis,Shooting Guard,high
dedmode01,Dewayne Dedmon,13536,Dewayne Dedmon,Center,high
dekkesa01,Sam Dekker,17846,Sam Dekker,Small Forward,high
delanma01,Malcolm Delaney,20666,Malcom Delaney,Shooting Guard,low
dellama01,Matthew Dellavedova,13478,Matthew Dellavedova,Point Guard,high
demineg01,Egor Dёmin,98610,Egor Demin,Point Guard,medium
denglu01,Luol Deng,2240,Luol Deng,Small Forward,high
derozde01,DeMar DeRozan,6327,DeMar DeRozan,Small Forward,high
diabamo01,Moussa Diabaté,78154,Moussa Diabate,Power Forward,high
diakima01,Mamadi Diakite,70766,Mamadi Diakite,Power Forward,high
diallch01,Cheick Diallo,20239,Cheick Diallo,Power Forward,high
diallha01,Hamidou Diallo,27011,Hamidou Diallo,Shooting Guard,high
diawamo01,Mohamed Diawara,99263,Mohamed Diawara,Power Forward,high
diawbo01,Boris Diaw,6089,Boris Diaw,Center,high
dickgr01,Gradey Dick,82204,Gradey Dick,Shooting Guard,high
dienggo01,Gorgui Dieng,13334,Gorgui Dieng,Center,high
diengou01,Ousmane Dieng,78118,Ousmane Dieng,Small Forward,high
dilliro01,Rob Dillingham,91736,Rob Dillingham,Point Guard,high
dinwisp01,Spencer Dinwiddie,15390,Spencer Dinwiddie,Point Guard,high
divindo01,Donte DiVincenzo,26983,Donte DiVincenzo,Shooting Guard,high
doncilu01,Luka Dončić,26969,Luka Doncic,Point Guard,high
dorsety01,Tyler Dorsey,23642,Tyler Dorsey,Shooting Guard,high
dortlu01,Luguentz Dort,33033,Luguentz Dort,Shooting Guard,high
dosunay01,Ayo Dosunmu,74145,Ayo Dosunmu,Point Guard,high
dotsoda01,Damyean Dotson,23645,Damyean Dotson,Shooting Guard,high
douglto01,Toney Douglas,6309,Toney Douglas,Shooting Guard,high
doumbse01,Sekou Doumbouya,31572,Sekou Doumbouya,Small Forward,high
dowtije01,Jeff Dowtin Jr.,70872,Jeff Dowtin,Point Guard,medium
doziepj01,PJ Dozier,23668,P.J. Dozier,Point Guard,high
dragigo01,Goran Dragić,6146,Goran Dragic,Point Guard,high
drumman01,Andre Drummond,10817,Andre Drummond,Center,high
duartch01,Chris Duarte,74120,Chris Duarte,Small Forward,high
dudleja01,Jared Dudley,2228,Jared Dudley,Small Forward,high
dukeda01,David Duke Jr.,74239,David Duke Jr.,Shooting Guard,high
duncati01,Tim Duncan,2703,Tim Duncan,Power Forward,high
dunlemi02,Mike Dunleavy,2406,Mike Dunleavy,Small Forward,high
dunnkr01,Kris Dunn,20210,Kris Dunn,Point Guard,high
dunnry01,Ryan Dunn,91771,Ryan Dunn,Small Forward,high
duranke01,Kevin Durant,2717,Kevin Durant,Small Forward,high
durenja01,Jalen Duren,78116,Jalen Duren,Center,high
easonta01,Tari Eason,78123,Tari Eason,Power Forward,high
edeyza01,Zach Edey,91755,Zach Edey,Center,high
edgecvj01,VJ Edgecombe,98600,VJ Edgecombe,Shooting Guard,high
edwaran01,Anthony Edwards,70643,Anthony Edwards,Shooting Guard,high
edwarca01,Carsen Edwards,31592,Carsen Edwards,Point Guard,high
edwarju01,Justin Edwards,91770,Justin Edwards,Shooting Guard,high
edwarke02,Kessler Edwards,74151,Kessler Edwards,Small Forward,high
ellebcj01,CJ Elleby,70688,CJ Elleby,Small Forward,high
ellenhe01,Henry Ellenson,20223,Henry Ellenson,Center,high
ellinwa01,Wayne Ellington,6302,Wayne Ellington,Shooting Guard,high
elliske01,Keon Ellis,78267,Keon Ellis,Small Forward,high
ellismo01,Monta Ellis,2318,Monta Ellis,Shooting Guard,high
embiijo01,Joel Embiid,15355,Joel Embiid,Center,high
ennisja01,James Ennis III,13363,James Ennis III,Small Forward,high
ennisty01,Tyler Ennis,6454,Tyler Ennis,Center,high
etienty01,Tyson Etienne,79693,Tyson Etienne,Guard,high
eubandr01,Drew Eubanks,28052,Drew Eubanks,Center,high
evansja01,Jawun Evans,23634,Jawun Evans,Point Guard,high
evansja02,Jacob Evans,26994,Jacob Evans,Shooting Guard,high
evansty01,Tyreke Evans,6326,Tyreke Evans,Shooting Guard,high
